Batch,Question ID,Order,Question Type,Question Prompt,Required,Category,Answer Choices
🎉 Fun Favorites,birth_city,0,short_text,City where you were born,Yes,personal,"Free text (e.g., Karachi, Lahore, Houston)"
🎉 Fun Favorites,food_pulao_biryani,1,either_or,Pulao vs Biryani,Yes,food,"Pulao | Biryani | Both | Neither | What's the difference? 😅"
🎉 Fun Favorites,food_comfort,4,single_choice,Comfort food (your first pick),Yes,food,"Daal Chawal | Aloo Gosht + Naan | Aloo Paratha + Raita | Nihari + Paratha | Biryani (any style) | McDonald's burger & fries | Halwa Puri | Other (write-in)"
🎉 Fun Favorites,food_desi_restaurant,5,single_choice,When you're craving desi food, where do you go?,Yes,food,"Aga's | Bismillah | Lasbela | Tempura | Himalaya | Other (write-in)"
🎉 Fun Favorites,breakfast_nashta,5,single_choice,My most desired nashta is...,Yes,food,"Paratha + Chai | Halwa Puri | Nihari + Naan | Aloo Poori | Anda Paratha | Cereal (boring!) | Other (write-in)"
🧠 Know Yourself,zodiac_sign,8,dropdown,What's your zodiac?,Yes,personality,"Aries | Taurus | Gemini | Cancer | Leo | Virgo | Libra | Scorpio | Sagittarius | Capricorn | Aquarius | Pisces | I don't know"
🧠 Know Yourself,araam_mode,11,single_choice,Ultimate araam mode?,Yes,lifestyle,"Pajamas + Netflix | Daytime nap | Chai and Dawn | No plans weekend | Phone on silent | Reading a book | Other (write-in)"
🧠 Know Yourself,free_saturday,12,single_choice,"You have a free Saturday (araam ka din). What sounds perfect?",Yes,personality,"Solo time at home (ghar pe chill) | Chai with 1-2 close friends | Group hangout with the whole jamaat | Big party or shaadi-style event | Depends on my spouse's mizaaj (mood) | Other (write-in)"
🧠 Know Yourself,decision_style,13,single_choice,"When making big decisions, you trust your...",Yes,personality,"Dil (heart/gut feeling) | Dimagh (logic and planning) | What ammi/abbu said | Mix of dil and dimagh | I overthink until everyone's tired 😅 | Other (write-in)"
🧠 Know Yourself,communication_style,14,single_choice,"When something bothers you, you usually...",Yes,personality,"Seedha baat karte hain (say it directly) | Drop hints aur intezaar (wait for them to notice) | Doosron se vent (complain to others first) | Avoid - chup rehte hain | Write a full paragraph WhatsApp message | Other (write-in)"
🧠 Know Yourself,left_on_read,15,single_choice,"When a close friend leaves you on read, you...",Yes,personality,"Don't even notice (too busy living life) | Notice but don't care (they're probably busy) | Send a follow-up ""Hello?? 👀"" | Overthink everything (kya galti ho gayi?) | Double/triple text until they respond | Take mental notes for later | Wait for them to reach out first | Other (write-in)"
💭 Deeper Reflections,fav_city_travel,12,short_text,Favorite city for travel,Yes,travel,"Free text (e.g., Istanbul, Paris, Tokyo)"
💭 Deeper Reflections,travel_vibe,13,single_choice,What's your travel vibe?,Yes,travel,"Luxury resort | Budget backpacker | Cultural explorer | Beach bum | City hopper | Road tripper | Staycation lover | Other (write-in)"
💭 Deeper Reflections,tsa_luggage,14,single_choice,What TSA side-eyes in your luggage,Yes,travel,"Everyday & Tapal Tea Bags | Spice Packets Galore | Shahi Supari Roll | Henna Cones | Achar Jar | Other (write-in)"
💭 Deeper Reflections,smuggled_pakistan,15,single_choice,"What gets ""smuggled"" from Pakistan in suitcases",Yes,nostalgia,"Achar | Desi Joray | Nimko/Snacks | Seeds | Mithai | Other (write-in)"
💭 Deeper Reflections,desi_party_personality,20,single_choice,Your desi party personality?,Yes,social,"First to arrive, last to leave | Fashionably late (always) | Shows up for khana only | The photographer/Insta story maker | Corner mein hiding with one friend | Dance floor pe jab koi nahi dekh raha | Other (write-in)"
💭 Deeper Reflections,celebrity_crush_teen,19,short_text,When I was a teenager my celebrity crush was?,Yes,entertainment,"Free text (e.g., Shah Rukh Khan, Zendaya)"
💭 Deeper Reflections,tv_obsession,21,short_text,Current TV obsession?,Yes,entertainment,"Free text (e.g., The Bear, Succession)"
💭 Deeper Reflections,reading_vibe,22,single_choice,Current reading vibe?,Yes,entertainment,"Book title: ___ (write-in) | Audiobooks are my thing | Social media is my library | I don't read, I just TikTok | Subtitles on Netflix | Other (write-in)"
💭 Deeper Reflections,music_vibe,22,single_choice,Your music vibe?,Yes,entertainment,"Desi bangers | 90s nostalgia | Pop hits | R&B/Hip-Hop | Rock/Alternative | Classical/Ghazals | Whatever's trending | Other (write-in)"
💭 Deeper Reflections,culture_marriage_love_arranged,20,either_or,Love or arranged marriage?,Yes,culture,"Love marriage | Arranged marriage | Both | Neither"
